state,totDeath,totCases,pctCase
,0,0,0
AK,45,6743,0.6673587424
AL,2437,144164,1.690435892
AR,1181,75160,1.571314529
AS,0,0,0
AZ,5467,213551,2.560044205
CA,14912,774135,1.926279008
CO,2013,64356,3.127913481
CT,4492,55527,8.089758136
DC,619,14902,4.153804858
DE,621,19449,3.192966219
FL,13287,673194,1.973725256
FSM,0,0,0
GA,6599,305021,2.163457598
GU,31,2074,1.494696239
HI,120,11485,1.044841097
IA,1264,79384,1.592260405
ID,441,37247,1.183987972
IL,8672,275054,3.152835443
IN,3503,110759,3.162722668
KS,596,52285,1.139906283
KY,1108,61106,1.813242562
LA,5340,161322,3.310149887
MA,9293,135035,6.881919502
MD,3879,120156,3.228303206
ME,140,5079,2.75644812
MI,6969,128087,5.440833184
MN,2015,88721,2.271164662
MO,1793,111516,1.607841027
MP,2,68,2.941176471
MS,2810,93364,3.009725376
MT,157,10300,1.524271845
NC,3235,192248,1.682722317
ND,192,17958,1.069161377
NE,442,40797,1.083412996
NH,438,7920,5.53030303
NJ,16064,199309,8.059846771
NM,847,27512,3.078656586
NV,1569,75607,2.075204677
NY,9014,209240,4.307971707
NYC,23777,241015,9.865361077
OH,4612,143547,3.212884978
OK,955,82018,1.164378551
OR,525,30599,1.715742345
PA,7956,149845,5.309486469
PR,608,41838,1.453224342
PW,0,0,0
RI,1088,23620,4.606265876
RMI,0,0,0
SC,3188,137240,2.322937919
SD,200,18444,1.084363479
TN,2216,181439,1.221347119
TX,14848,686068,2.164216958
UT,439,63538,0.6909251157
VA,3015,140512,2.145724209
VI,19,1257,1.511535402
VT,58,1710,3.391812865
WA,2037,82199,2.478132337
WI,1249,105557,1.183246966
WV,308,13874,2.219979818
WY,49,4780,1.025104603
Grand Total,23777,774135,154.3273338