States,popDensity,Population2019,totDeath,totCases,pctDeath
Alabama,37.38009926,4903185,2437,144164,1.690435892
Alaska,0.4949717616,731545,45,6743,0.6673587424
Arizona,24.74012175,7278717,5467,213551,2.560044205
Arkansas,22.39208732,3017804,1181,75160,1.571314529
California,97.93197692,39512223,14912,774135,1.926279008
Colorado,21.45331948,5758736,2013,64356,3.127913481
Connecticut,284.2678201,3565287,4492,55527,8.089758136
Delaware,192.9391718,973764,621,19449,3.192966219
District of Columbia,4466.765823,705749,619,14902,4.153804858
Florida,154.6418095,21477737,13287,673194,1.973725256
Georgia,71.27748575,10617423,6599,305021,2.163457598
Hawaii,85.11403667,1415872,120,11485,1.044841097
Idaho,8.349015394,1787065,441,37247,1.183987972
Illinois,88.12543726,12671821,8672,275054,3.152835443
Indiana,72.55406352,6732219,3503,110759,3.162722668
Iowa,21.80888788,3155070,1264,79384,1.592260405
Kansas,13.75801166,2913314,596,52285,1.139906283
Kentucky,43.68550587,4467673,1108,61106,1.813242562
Louisiana,41.54492484,4648794,5340,161322,3.310149887
Maine,16.82725987,1344212,140,5079,2.75644812
Maryland,240.4613794,6045680,3879,120156,3.228303206
Massachusetts,341.1792397,6892503,9293,135035,6.881919502
Michigan,68.19993171,9986857,6969,128087,5.440833184
Minnesota,27.34605687,5639632,2015,88721,2.271164662
Mississippi,24.48880533,2976149,2810,93364,3.009725376
Missouri,34.47218603,6137428,1793,111516,1.607841027
Montana,2.835240687,1068778,157,10300,1.524271845
Nebraska,9.721913416,1934408,442,40797,1.083412996
Nevada,10.83295584,3080156,1569,75607,2.075204677
New Hampshire,58.64109199,1359711,438,7920,5.53030303
New Jersey,466.3301307,8882190,16064,199309,8.059846771
New Mexico,6.674377151,2096829,847,27512,3.078656586
New York,159.3809532,19453561,32791,450255,7.28276199
North Carolina,83.29164549,10488084,3235,192248,1.682722317
North Dakota,4.26421429,762062,192,17958,1.069161377
Ohio,110.4527114,11689100,4612,143547,3.212884978
Oklahoma,22.27271755,3956971,955,82018,1.164378551
Oregon,16.96541141,4217737,525,30599,1.715742345
Pennsylvania,110.4733999,12801989,7956,149845,5.309486469
Puerto Rico,360.1368967,3193694,608,41838,1.453224342
Rhode Island,395.5791636,1059361,1088,23620,4.606265876
South Carolina,66.1303929,5148714,3188,137240,2.322937919
South Dakota,4.505520754,884659,200,18444,1.084363479
Tennessee,63.94477425,6829174,2216,181439,1.221347119
Texas,42.85610128,28995881,14848,686068,2.164216958
Utah,15.06431787,3205958,439,63538,0.6909251157
Vermont,26.14004441,623989,58,1710,3.391812865
Virginia,83.45328953,8535519,3015,140512,2.145724209
Washington,44.24202441,7614893,2037,82199,2.478132337
West Virginia,28.7853483,1792147,308,13874,2.219979818
Wisconsin,41.50935352,5822434,1249,105557,1.183246966
Wyoming,2.301503161,578759,49,4780,1.025104603